Rank,Title,Year,Rating,Duration_Minutes,Certificate,Source
1,The Shawshank Redemption,1994,,142,R,IMDb Top 250
2,The Godfather,1972,,175,R,IMDb Top 250
3,The Dark Knight,2008,,152,PG-13,IMDb Top 250
4,The Godfather Part II,1974,,202,R,IMDb Top 250
5,12 Angry Men,1957,,96,Approved,IMDb Top 250
6,The Lord of the Rings: The Return of the King,2003,,201,PG-13,IMDb Top 250
7,Schindler's List,1993,,195,R,IMDb Top 250
8,The Lord of the Rings: The Fellowship of the Ring,2001,,178,PG-13,IMDb Top 250
9,Pulp Fiction,1994,,154,R,IMDb Top 250
10,"The Good, the Bad and the Ugly",1966,,178,R,IMDb Top 250
11,The Lord of the Rings: The Two Towers,2002,,179,PG-13,IMDb Top 250
12,Forrest Gump,1994,,142,PG-13,IMDb Top 250
13,Fight Club,1999,,139,R,IMDb Top 250
14,Inception,2010,,148,PG-13,IMDb Top 250
15,Star Wars: Episode V - The Empire Strikes Back,1980,,124,PG,IMDb Top 250
16,The Matrix,1999,,136,R,IMDb Top 250
17,Goodfellas,1990,,145,R,IMDb Top 250
18,Interstellar,2014,,169,PG-13,IMDb Top 250
19,One Flew Over the Cuckoo's Nest,1975,,133,R,IMDb Top 250
20,Se7en,1995,,127,R,IMDb Top 250
21,It's a Wonderful Life,1946,,130,PG,IMDb Top 250
22,The Silence of the Lambs,1991,,118,R,IMDb Top 250
23,Seven Samurai,1954,,207,Not Rated,IMDb Top 250
24,Saving Private Ryan,1998,,169,R,IMDb Top 250
25,The Green Mile,1999,,189,R,IMDb Top 250
26,City of God,2002,,130,R,IMDb Top 250
27,Life Is Beautiful,1997,,116,PG-13,IMDb Top 250
28,Terminator 2: Judgment Day,1991,,137,R,IMDb Top 250
29,Star Wars: Episode IV - A New Hope,1977,,121,PG,IMDb Top 250
30,Back to the Future,1985,,116,PG,IMDb Top 250
31,Spirited Away,2001,,124,PG,IMDb Top 250
32,The Pianist,2002,,150,R,IMDb Top 250
33,Gladiator,2000,,155,R,IMDb Top 250
34,Parasite,2019,,132,R,IMDb Top 250
35,Grave of the Fireflies,1988,,88,Not Rated,IMDb Top 250
36,Psycho,1960,,109,R,IMDb Top 250
37,The Lion King,1994,,88,G,IMDb Top 250
38,Harakiri,1962,,133,Not Rated,IMDb Top 250
39,The Departed,2006,,151,R,IMDb Top 250
40,Whiplash,2014,,106,R,IMDb Top 250
41,The Prestige,2006,,130,PG-13,IMDb Top 250
42,American History X,1998,,119,R,IMDb Top 250
43,Léon: The Professional,1994,,110,R,IMDb Top 250
44,Spider-Man: Across the Spider-Verse,2023,,140,PG,IMDb Top 250
45,Cinema Paradiso,1988,,174,PG,IMDb Top 250
46,Casablanca,1942,,102,PG,IMDb Top 250
47,The Intouchables,2011,,112,R,IMDb Top 250
48,The Usual Suspects,1995,,106,R,IMDb Top 250
49,Alien,1979,,117,R,IMDb Top 250
50,Django Unchained,2012,,165,R,IMDb Top 250
51,Modern Times,1936,,87,G,IMDb Top 250
52,Rear Window,1954,,112,PG,IMDb Top 250
53,Once Upon a Time in the West,1968,,145,PG-13,IMDb Top 250
54,City Lights,1931,,87,G,IMDb Top 250
55,Apocalypse Now,1979,,147,R,IMDb Top 250
56,WALL·E,2008,,98,G,IMDb Top 250
57,Memento,2000,,113,R,IMDb Top 250
58,Dune: Part Two,2024,,166,PG-13,IMDb Top 250
59,Raiders of the Lost Ark,1981,,115,PG,IMDb Top 250
60,Avengers: Infinity War,2018,,149,PG-13,IMDb Top 250
61,The Lives of Others,2006,,137,R,IMDb Top 250
62,Spider-Man: Into the Spider-Verse,2018,,117,PG,IMDb Top 250
63,Sunset Boulevard,1950,,110,Approved,IMDb Top 250
64,Witness for the Prosecution,1957,,116,Approved,IMDb Top 250
65,Paths of Glory,1957,,88,Approved,IMDb Top 250
66,The Shining,1980,,146,R,IMDb Top 250
67,The Great Dictator,1940,,125,G,IMDb Top 250
68,Inglourious Basterds,2009,,153,R,IMDb Top 250
69,12th Fail,2023,,147,,IMDb Top 250
70,Aliens,1986,,137,R,IMDb Top 250
71,High and Low,1963,,143,Not Rated,IMDb Top 250
72,The Dark Knight Rises,2012,,164,PG-13,IMDb Top 250
73,Avengers: Endgame,2019,,181,PG-13,IMDb Top 250
74,Coco,2017,,105,PG,IMDb Top 250
75,Good Will Hunting,1997,,126,R,IMDb Top 250
76,Amadeus,1984,,160,PG,IMDb Top 250
77,Toy Story,1995,,81,G,IMDb Top 250
78,Your Name.,2016,,106,,IMDb Top 250
79,Das Boot,1981,,149,,IMDb Top 250
80,Oldboy,2003,,120,R,IMDb Top 250
81,Braveheart,1995,,178,R,IMDb Top 250
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,95,PG,IMDb Top 250
83,Princess Mononoke,1997,,133,PG-13,IMDb Top 250
84,American Beauty,1999,,122,R,IMDb Top 250
85,3 Idiots,2009,,170,PG-13,IMDb Top 250
86,Capernaum,2018,,126,R,IMDb Top 250
87,Joker,2019,,122,R,IMDb Top 250
88,Singin' in the Rain,1952,,103,G,IMDb Top 250
89,Once Upon a Time in America,1984,,229,R,IMDb Top 250
90,Come and See,1985,,142,Not Rated,IMDb Top 250
91,Star Wars: Episode VI - Return of the Jedi,1983,,131,PG,IMDb Top 250
92,Requiem for a Dream,2000,,102,NC-17,IMDb Top 250
93,Toy Story 3,2010,,103,G,IMDb Top 250
94,Ikiru,1952,,143,Not Rated,IMDb Top 250
95,The Hunt,2012,,115,R,IMDb Top 250
96,Incendies,2010,,131,R,IMDb Top 250
97,Eternal Sunshine of the Spotless Mind,2004,,108,R,IMDb Top 250
98,The Apartment,1960,,125,Approved,IMDb Top 250
99,Lawrence of Arabia,1962,,227,Approved,IMDb Top 250
100,2001: A Space Odyssey,1968,,149,G,IMDb Top 250
101,Reservoir Dogs,1992,,99,R,IMDb Top 250
102,Heat,1995,,170,R,IMDb Top 250
103,Scarface,1983,,170,R,IMDb Top 250
104,Double Indemnity,1944,,107,Approved,IMDb Top 250
105,Up,2009,,96,PG,IMDb Top 250
106,North by Northwest,1959,,136,Approved,IMDb Top 250
107,Like Stars on Earth,2007,,162,PG,IMDb Top 250
108,Full Metal Jacket,1987,,116,R,IMDb Top 250
109,M,1931,,99,Passed,IMDb Top 250
110,Citizen Kane,1941,,119,PG,IMDb Top 250
111,Amélie,2001,,122,R,IMDb Top 250
112,Vertigo,1958,,128,PG,IMDb Top 250
113,A Separation,2011,,123,PG-13,IMDb Top 250
114,Die Hard,1988,,132,R,IMDb Top 250
115,To Kill a Mockingbird,1962,,129,Approved,IMDb Top 250
116,The Sting,1973,,129,PG,IMDb Top 250
117,Indiana Jones and the Last Crusade,1989,,127,PG-13,IMDb Top 250
118,A Clockwork Orange,1971,,136,R,IMDb Top 250
119,Metropolis,1927,,153,Passed,IMDb Top 250
120,Snatch,2000,,102,R,IMDb Top 250
121,1917,2019,,119,R,IMDb Top 250
122,L.A. Confidential,1997,,138,R,IMDb Top 250
123,Downfall,2004,,156,R,IMDb Top 250
124,The Wolf of Wall Street,2013,,180,R,IMDb Top 250
125,Dangal,2016,,161,Not Rated,IMDb Top 250
126,Bicycle Thieves,1948,,89,Not Rated,IMDb Top 250
127,Oppenheimer,2023,,180,R,IMDb Top 250
128,The Truman Show,1998,,103,PG,IMDb Top 250
129,Green Book,2018,,130,PG-13,IMDb Top 250
130,Shutter Island,2010,,138,R,IMDb Top 250
131,Judgment at Nuremberg,1961,,179,Approved,IMDb Top 250
132,Batman Begins,2005,,140,PG-13,IMDb Top 250
133,Hamilton,2020,,160,PG-13,IMDb Top 250
134,For a Few Dollars More,1965,,132,R,IMDb Top 250
135,Taxi Driver,1976,,114,R,IMDb Top 250
136,Jurassic Park,1993,,127,PG-13,IMDb Top 250
137,Some Like It Hot,1959,,121,Approved,IMDb Top 250
138,There Will Be Blood,2007,,158,R,IMDb Top 250
139,The Kid,1921,,68,Passed,IMDb Top 250
140,The Father,2020,,97,PG-13,IMDb Top 250
141,All About Eve,1950,,138,Approved,IMDb Top 250
142,The Sixth Sense,1999,,107,PG-13,IMDb Top 250
143,Ran,1985,,160,R,IMDb Top 250
144,Casino,1995,,178,R,IMDb Top 250
145,No Country for Old Men,2007,,122,R,IMDb Top 250
146,The Thing,1982,,109,R,IMDb Top 250
147,Top Gun: Maverick,2022,,130,PG-13,IMDb Top 250
148,Prisoners,2013,,153,R,IMDb Top 250
149,Pan's Labyrinth,2006,,118,R,IMDb Top 250
150,Kill Bill: Vol. 1,2003,,111,R,IMDb Top 250
151,Unforgiven,1992,,130,R,IMDb Top 250
152,A Beautiful Mind,2001,,135,PG-13,IMDb Top 250
153,The Treasure of the Sierra Madre,1948,,126,Approved,IMDb Top 250
154,Howl's Moving Castle,2004,,119,PG,IMDb Top 250
155,Finding Nemo,2003,,100,G,IMDb Top 250
156,Yojimbo,1961,,110,Not Rated,IMDb Top 250
157,Klaus,2019,,96,PG,IMDb Top 250
158,The Great Escape,1963,,172,Approved,IMDb Top 250
159,The Elephant Man,1980,,124,PG,IMDb Top 250
160,Monty Python and the Holy Grail,1975,,91,PG,IMDb Top 250
161,The Best of Youth,2003,,374,R,IMDb Top 250
162,Dial M for Murder,1954,,105,PG,IMDb Top 250
163,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,,155,R,IMDb Top 250
164,The Secret in Their Eyes,2009,,129,R,IMDb Top 250
165,Gone with the Wind,1939,,238,G,IMDb Top 250
166,The Chaos Class Failed the Class,1975,,95,,IMDb Top 250
167,Chinatown,1974,,130,R,IMDb Top 250
168,"Lock, Stock and Two Smoking Barrels",1998,,107,R,IMDb Top 250
169,V for Vendetta,2005,,132,R,IMDb Top 250
170,Inside Out,2015,,95,PG,IMDb Top 250
171,Catch Me If You Can,2002,,141,PG-13,IMDb Top 250
172,Rashomon,1950,,88,Not Rated,IMDb Top 250
173,"Three Billboards Outside Ebbing, Missouri",2017,,115,R,IMDb Top 250
174,Trainspotting,1996,,93,R,IMDb Top 250
175,The Bridge on the River Kwai,1957,,161,PG,IMDb Top 250
176,Harry Potter and the Deathly Hallows: Part 2,2011,,130,PG-13,IMDb Top 250
177,Dead Poets Society,1989,,128,PG,IMDb Top 250
178,Fargo,1996,,98,R,IMDb Top 250
179,The Wild Robot,2024,,102,PG,IMDb Top 250
180,Warrior,2011,,140,PG-13,IMDb Top 250
181,Raging Bull,1980,,129,R,IMDb Top 250
182,Barry Lyndon,1975,,185,PG,IMDb Top 250
183,Ben-Hur,1959,,212,G,IMDb Top 250
184,Million Dollar Baby,2004,,132,PG-13,IMDb Top 250
185,Mad Max: Fury Road,2015,,120,R,IMDb Top 250
186,Gran Torino,2008,,116,R,IMDb Top 250
187,My Neighbor Totoro,1988,,86,G,IMDb Top 250
188,Children of Heaven,1997,,89,PG,IMDb Top 250
189,Hacksaw Ridge,2016,,139,R,IMDb Top 250
190,12 Years a Slave,2013,,134,R,IMDb Top 250
191,The Grand Budapest Hotel,2014,,99,R,IMDb Top 250
192,Before Sunrise,1995,,101,R,IMDb Top 250
193,Ratatouille,2007,,111,G,IMDb Top 250
194,Blade Runner,1982,,117,R,IMDb Top 250
195,Memories of Murder,2003,,131,Not Rated,IMDb Top 250
196,How to Train Your Dragon,2010,,98,PG,IMDb Top 250
197,Spider-Man: No Way Home,2021,,148,PG-13,IMDb Top 250
198,Gone Girl,2014,,149,R,IMDb Top 250
199,"Monsters, Inc.",2001,,92,G,IMDb Top 250
200,Jaws,1975,,124,PG,IMDb Top 250
201,In the Name of the Father,1993,,133,R,IMDb Top 250
202,Ford v Ferrari,2019,,152,PG-13,IMDb Top 250
203,Wild Tales,2014,,122,R,IMDb Top 250
204,The Gold Rush,1925,,95,Approved,IMDb Top 250
205,Sherlock Jr.,1924,,45,Passed,IMDb Top 250
206,Mary and Max,2009,,92,Not Rated,IMDb Top 250
207,The Deer Hunter,1978,,183,R,IMDb Top 250
208,The Wages of Fear,1953,,156,Not Rated,IMDb Top 250
209,The General,1926,,78,Passed,IMDb Top 250
210,Logan,2017,,137,R,IMDb Top 250
211,Rocky,1976,,120,PG,IMDb Top 250
212,Mr. Smith Goes to Washington,1939,,129,Approved,IMDb Top 250
213,On the Waterfront,1954,,108,Approved,IMDb Top 250
214,Tokyo Story,1953,,137,Not Rated,IMDb Top 250
215,Pirates of the Caribbean: The Curse of the Black Pearl,2003,,143,PG-13,IMDb Top 250
216,Wild Strawberries,1957,,92,Not Rated,IMDb Top 250
217,Spotlight,2015,,129,R,IMDb Top 250
218,La haine,1995,,98,Not Rated,IMDb Top 250
219,The Third Man,1949,,104,Approved,IMDb Top 250
220,The Terminator,1984,,107,R,IMDb Top 250
221,Maharaja,2024,,141,,IMDb Top 250
222,Jai Bhim,2021,,164,Approved,IMDb Top 250
223,A Silent Voice: The Movie,2016,,130,Not Rated,IMDb Top 250
224,The Sound of Music,1965,,174,G,IMDb Top 250
225,The Big Lebowski,1998,,117,R,IMDb Top 250
226,The Best Years of Our Lives,1946,,170,Approved,IMDb Top 250
227,Chainsaw Man - The Movie: Reze Arc,2025,,100,R,IMDb Top 250
228,The Seventh Seal,1957,,96,Not Rated,IMDb Top 250
229,Room,2015,,118,R,IMDb Top 250
230,Before Sunset,2004,,80,R,IMDb Top 250
231,Hotel Rwanda,2004,,121,PG-13,IMDb Top 250
232,Platoon,1986,,120,R,IMDb Top 250
233,The Incredibles,2004,,115,PG,IMDb Top 250
234,Hachi: A Dog's Tale,2009,,93,G,IMDb Top 250
235,The Exorcist,1973,,122,R,IMDb Top 250
236,Rush,2013,,123,R,IMDb Top 250
237,The Wizard of Oz,1939,,102,G,IMDb Top 250
238,Stand by Me,1986,,89,R,IMDb Top 250
239,The Iron Giant,1999,,86,PG,IMDb Top 250
240,The Passion of Joan of Arc,1928,,114,Passed,IMDb Top 250
241,My Father and My Son,2005,,112,Not Rated,IMDb Top 250
242,Marty Supreme,2025,,149,R,IMDb Top 250
243,The Battle of Algiers,1966,,121,Not Rated,IMDb Top 250
244,The Handmaiden,2016,,145,Not Rated,IMDb Top 250
245,Network,1976,,121,R,IMDb Top 250
246,To Be or Not to Be,1942,,99,Approved,IMDb Top 250
247,The Grapes of Wrath,1940,,129,Approved,IMDb Top 250
248,Gangs of Wasseypur,2012,,321,Not Rated,IMDb Top 250
249,Drishyam,2015,,163,Not Rated,IMDb Top 250
250,Autumn Sonata,1978,,99,PG,IMDb Top 250
